FlowUID,FromUID,ToUID,FromName,ToName,MassType,Volume_m3,VolumeUnit,PeriodStart,PeriodEnd,EvidenceClass,Confidence,SourceURL,Class,Outcome,Method,Notes,Published
FLW_0075,SRC_OS_001,OS_OS_004,Fornebubanen,FRANO gjenvinningsanlegg for forurensede masser (Bondkall),rock,92128,pfm3,2020,2029,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",18.2 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0076,SRC_OS_001,AK_NA_001,Fornebubanen,Herstua Grus AS - avfallshåndtering,rock,11636,pfm3,2020,2029,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",54.9 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0077,SRC_OS_001,BU_LI_001,Fornebubanen,Egge I - inert deponi,rock,21106,pfm3,2020,2029,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",37.7 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0078,SRC_OS_001,BU_LI_002,Fornebubanen,Egge II - inert deponi,rock,20956,pfm3,2020,2029,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",37.9 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0079,SRC_OS_001,OS_OS_001,Fornebubanen,Alnabru Massemottak,soil and clay,22866,pfm3,2020,2029,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",11.5 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0080,SRC_OS_001,AK_LI_002,Fornebubanen,Skedsmo Massesenter,soil and clay,9552,pfm3,2020,2029,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",29.0 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0081,SRC_OS_001,AK_LI_003,Fornebubanen,Jølsen Miljøpark,soil and clay,7673,pfm3,2020,2029,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",30.5 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0082,SRC_OS_001,AK_EI_002,Fornebubanen,Feiring Bruk AS avd. Dal Pukkverk,soil and clay,4815,pfm3,2020,2029,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",58.8 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0083,SRC_OS_001,AK_UL_003,Fornebubanen,Veidekke Gardermoen Massesenter,soil and clay,6180,pfm3,2020,2029,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",48.7 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0084,SRC_OS_001,AK_AS_001,Fornebubanen,Lindum Oredalen,soil and clay,5324,pfm3,2020,2029,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",54.5 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0085,SRC_OS_001,AK_AS_004,Fornebubanen,Røyken Grovfyllplass,soil and clay,2745,pfm3,2020,2029,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",36.2 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0086,SRC_OS_001,AK_LI_004,Fornebubanen,ROAF Miljøpark,soil and clay,11706,pfm3,2020,2029,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",29.0 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0087,SRC_OS_001,AK_UL_002,Fornebubanen,ØRAS Miljøstasjon Dal Skog,soil and clay,1627,pfm3,2020,2029,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",57.5 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0088,SRC_OS_001,OF_IO_002,Fornebubanen,Veidekke Elvestad,soil and clay,4468,pfm3,2020,2029,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",44.2 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0089,SRC_OS_001,OS_OS_004,Fornebubanen,FRANO gjenvinningsanlegg for forurensede masser (Bondkall),soil and clay,28337,pfm3,2020,2029,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",18.2 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0090,SRC_OS_001,AK_NA_001,Fornebubanen,Herstua Grus AS - avfallshåndtering,soil and clay,2480,pfm3,2020,2029,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",54.9 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0091,SRC_OS_001,BU_DR_002,Fornebubanen,Lindum AS avd. Drammen - avfallsdeponi,soil and clay,6524,pfm3,2020,2029,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",45.8 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0092,SRC_OS_001,BU_DR_005,Fornebubanen,Mile avfallsdeponi,soil and clay,2281,pfm3,2020,2029,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",54.8 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0093,SRC_OS_001,BU_LI_001,Fornebubanen,Egge I - inert deponi,soil and clay,5341,pfm3,2020,2029,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",37.7 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0094,SRC_OS_001,BU_LI_002,Fornebubanen,Egge II - inert deponi,soil and clay,5294,pfm3,2020,2029,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",37.9 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0095,SRC_OS_002,OS_OS_001,Ny vannforsyning Oslo,Alnabru Massemottak,rock,119133,pfm3,2020,2028,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",14.9 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0096,SRC_OS_002,AK_LI_002,Ny vannforsyning Oslo,Skedsmo Massesenter,rock,64435,pfm3,2020,2028,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",30.3 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0097,SRC_OS_002,AK_LI_003,Ny vannforsyning Oslo,Jølsen Miljøpark,rock,49683,pfm3,2020,2028,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",33.2 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0098,SRC_OS_002,AK_EI_002,Ny vannforsyning Oslo,Feiring Bruk AS avd. Dal Pukkverk,rock,47812,pfm3,2020,2028,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",57.9 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0099,SRC_OS_002,AK_UL_003,Ny vannforsyning Oslo,Veidekke Gardermoen Massesenter,rock,54408,pfm3,2020,2028,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",48.3 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0100,SRC_OS_002,AK_AH_001,Ny vannforsyning Oslo,Helgerud Inert Deponi,rock,13611,pfm3,2020,2028,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",65.6 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0101,SRC_OS_002,AK_AS_001,Ny vannforsyning Oslo,Lindum Oredalen,rock,43586,pfm3,2020,2028,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",57.4 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0102,SRC_OS_002,AK_AH_002,Ny vannforsyning Oslo,Mr. Pukk Høland AS,rock,13553,pfm3,2020,2028,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",65.7 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0103,SRC_OS_002,OF_IO_002,Ny vannforsyning Oslo,Veidekke Elvestad,rock,30691,pfm3,2020,2028,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",48.8 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0104,SRC_OS_002,OS_OS_004,Ny vannforsyning Oslo,FRANO gjenvinningsanlegg for forurensede masser (Bondkall),rock,169642,pfm3,2020,2028,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",19.8 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0105,SRC_OS_002,AK_NA_001,Ny vannforsyning Oslo,Herstua Grus AS - avfallshåndtering,rock,24131,pfm3,2020,2028,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",53.5 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0106,SRC_OS_002,BU_LI_001,Ny vannforsyning Oslo,Egge I - inert deponi,rock,43682,pfm3,2020,2028,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",36.4 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0107,SRC_OS_002,BU_LI_002,Ny vannforsyning Oslo,Egge II - inert deponi,rock,43354,pfm3,2020,2028,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",36.6 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0108,SRC_VI_010,OS_OS_001,Oslo Logistikkpark Drøbak,Alnabru Massemottak,rock,13320,pfm3,2023,2026,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",37.4 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0109,SRC_VI_010,AK_LI_002,Oslo Logistikkpark Drøbak,Skedsmo Massesenter,rock,6465,pfm3,2023,2026,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",55.4 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0110,SRC_VI_010,AK_LI_003,Oslo Logistikkpark Drøbak,Jølsen Miljøpark,rock,6718,pfm3,2023,2026,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",50.9 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0111,SRC_VI_010,AK_NI_001,Oslo Logistikkpark Drøbak,NOAH Engadalen,rock,12043,pfm3,2023,2026,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",65.1 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0112,SRC_VI_010,AK_AH_001,Oslo Logistikkpark Drøbak,Helgerud Inert Deponi,rock,4005,pfm3,2023,2026,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",63.8 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0113,SRC_VI_010,AK_AS_001,Oslo Logistikkpark Drøbak,Lindum Oredalen,rock,48546,pfm3,2023,2026,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",22.4 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0114,SRC_VI_010,AK_AH_002,Oslo Logistikkpark Drøbak,Mr. Pukk Høland AS,rock,4009,pfm3,2023,2026,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",63.8 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0115,SRC_VI_010,OF_IO_002,Oslo Logistikkpark Drøbak,Veidekke Elvestad,rock,26192,pfm3,2023,2026,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",20.5 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0116,SRC_VI_010,OS_OS_004,Oslo Logistikkpark Drøbak,FRANO gjenvinningsanlegg for forurensede masser (Bondkall),rock,16130,pfm3,2023,2026,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",46.3 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0117,SRC_VI_010,VF_HO_001,Oslo Logistikkpark Drøbak,Kopstad Massemottak AS,rock,9450,pfm3,2023,2026,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",42.4 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0118,SRC_VI_010,BU_LI_001,Oslo Logistikkpark Drøbak,Egge I - inert deponi,rock,10942,pfm3,2023,2026,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",38.7 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0119,SRC_VI_010,BU_LI_002,Oslo Logistikkpark Drøbak,Egge II - inert deponi,rock,10930,pfm3,2023,2026,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",38.7 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0120,SRC_VI_010,OS_OS_001,Oslo Logistikkpark Drøbak,Alnabru Massemottak,soil and clay,13053,pfm3,2023,2026,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",37.4 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0121,SRC_VI_010,AK_LI_002,Oslo Logistikkpark Drøbak,Skedsmo Massesenter,soil and clay,5287,pfm3,2023,2026,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",55.4 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0122,SRC_VI_010,AK_LI_003,Oslo Logistikkpark Drøbak,Jølsen Miljøpark,soil and clay,5750,pfm3,2023,2026,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",50.9 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0123,SRC_VI_010,AK_AS_001,Oslo Logistikkpark Drøbak,Lindum Oredalen,soil and clay,55271,pfm3,2023,2026,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",22.4 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0124,SRC_VI_010,AK_AS_004,Oslo Logistikkpark Drøbak,Røyken Grovfyllplass,soil and clay,16290,pfm3,2023,2026,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",15.2 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0125,SRC_VI_010,AK_LI_004,Oslo Logistikkpark Drøbak,ROAF Miljøpark,soil and clay,6897,pfm3,2023,2026,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",54.2 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0126,SRC_VI_010,OF_IO_002,Oslo Logistikkpark Drøbak,Veidekke Elvestad,soil and clay,30393,pfm3,2023,2026,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",20.5 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0127,SRC_VI_010,OS_OS_004,Oslo Logistikkpark Drøbak,FRANO gjenvinningsanlegg for forurensede masser (Bondkall),soil and clay,14453,pfm3,2023,2026,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",46.3 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0128,SRC_VI_010,VF_HO_001,Oslo Logistikkpark Drøbak,Kopstad Massemottak AS,soil and clay,8809,pfm3,2023,2026,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",42.4 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0129,SRC_VI_010,BU_DR_002,Oslo Logistikkpark Drøbak,Lindum AS avd. Drammen - avfallsdeponi,soil and clay,29819,pfm3,2023,2026,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",30.0 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0130,SRC_VI_010,BU_DR_005,Oslo Logistikkpark Drøbak,Mile avfallsdeponi,soil and clay,6578,pfm3,2023,2026,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",48.2 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0131,SRC_VI_010,BU_LI_001,Oslo Logistikkpark Drøbak,Egge I - inert deponi,soil and clay,10582,pfm3,2023,2026,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",38.7 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0132,SRC_VI_010,BU_LI_002,Oslo Logistikkpark Drøbak,Egge II - inert deponi,soil and clay,10567,pfm3,2023,2026,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",38.7 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0133,SRC_VI_011,OS_OS_001,Bulk Park Lindeberg,Alnabru Massemottak,soil and clay,13967,pfm3,2022,2027,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",24.7 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0134,SRC_VI_011,AK_LI_002,Bulk Park Lindeberg,Skedsmo Massesenter,soil and clay,35455,pfm3,2022,2027,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",6.1 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0135,SRC_VI_011,AK_LI_003,Bulk Park Lindeberg,Jølsen Miljøpark,soil and clay,24658,pfm3,2022,2027,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",10.5 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0136,SRC_VI_011,AK_NE_001,Bulk Park Lindeberg,Esval Miljøpark,soil and clay,12047,pfm3,2022,2027,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",29.5 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0137,SRC_VI_011,AK_EI_002,Bulk Park Lindeberg,Feiring Bruk AS avd. Dal Pukkverk,soil and clay,22144,pfm3,2022,2027,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",31.6 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0138,SRC_VI_011,AK_UL_003,Bulk Park Lindeberg,Veidekke Gardermoen Massesenter,soil and clay,29901,pfm3,2022,2027,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",20.5 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0139,SRC_VI_011,AK_NI_001,Bulk Park Lindeberg,NOAH Engadalen,soil and clay,37521,pfm3,2022,2027,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",25.1 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0140,SRC_VI_011,AK_AH_001,Bulk Park Lindeberg,Helgerud Inert Deponi,soil and clay,4869,pfm3,2022,2027,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",42.9 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0141,SRC_VI_011,AK_AH_002,Bulk Park Lindeberg,Mr. Pukk Høland AS,soil and clay,4821,pfm3,2022,2027,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",43.1 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0142,SRC_VI_011,AK_LI_004,Bulk Park Lindeberg,ROAF Miljøpark,soil and clay,43419,pfm3,2022,2027,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",6.1 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0143,SRC_VI_011,AK_UL_002,Bulk Park Lindeberg,ØRAS Miljøstasjon Dal Skog,soil and clay,8028,pfm3,2022,2027,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",28.9 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0144,SRC_VI_011,OS_OS_004,Bulk Park Lindeberg,FRANO gjenvinningsanlegg for forurensede masser (Bondkall),soil and clay,36097,pfm3,2022,2027,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",16.7 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0145,SRC_VI_011,AK_NA_001,Bulk Park Lindeberg,Herstua Grus AS - avfallshåndtering,soil and clay,9476,pfm3,2022,2027,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",31.4 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0146,SRC_OS_011,OS_OS_001,Regjeringskvartalet C-blokk,Alnabru Massemottak,soil and clay,16619,pfm3,2025,2029,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",8.4 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0147,SRC_OS_011,AK_LI_002,Regjeringskvartalet C-blokk,Skedsmo Massesenter,soil and clay,6673,pfm3,2025,2029,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",26.6 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0148,SRC_OS_011,AK_LI_003,Regjeringskvartalet C-blokk,Jølsen Miljøpark,soil and clay,5549,pfm3,2025,2029,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",27.4 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0149,SRC_OS_011,AK_EI_002,Regjeringskvartalet C-blokk,Feiring Bruk AS avd. Dal Pukkverk,soil and clay,3175,pfm3,2025,2029,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",57.6 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0150,SRC_OS_011,AK_UL_003,Regjeringskvartalet C-blokk,Veidekke Gardermoen Massesenter,soil and clay,4131,pfm3,2025,2029,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",47.2 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0151,SRC_OS_011,AK_NI_001,Regjeringskvartalet C-blokk,NOAH Engadalen,soil and clay,14280,pfm3,2025,2029,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",31.5 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0152,SRC_OS_011,AK_AH_001,Regjeringskvartalet C-blokk,Helgerud Inert Deponi,soil and clay,1198,pfm3,2025,2029,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",58.1 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0153,SRC_OS_011,AK_AS_001,Regjeringskvartalet C-blokk,Lindum Oredalen,soil and clay,3266,pfm3,2025,2029,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",54.8 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0154,SRC_OS_011,AK_AS_004,Regjeringskvartalet C-blokk,Røyken Grovfyllplass,soil and clay,1617,pfm3,2025,2029,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",37.2 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0155,SRC_OS_011,AK_AH_002,Regjeringskvartalet C-blokk,Mr. Pukk Høland AS,soil and clay,1192,pfm3,2025,2029,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",58.2 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0156,SRC_OS_011,AK_LI_004,Regjeringskvartalet C-blokk,ROAF Miljøpark,soil and clay,8258,pfm3,2025,2029,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",26.4 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0157,SRC_OS_011,AK_UL_002,Regjeringskvartalet C-blokk,ØRAS Miljøstasjon Dal Skog,soil and clay,1083,pfm3,2025,2029,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",56.0 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0158,SRC_OS_011,OF_IO_002,Regjeringskvartalet C-blokk,Veidekke Elvestad,soil and clay,3052,pfm3,2025,2029,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",42.2 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0159,SRC_OS_011,OS_OS_004,Regjeringskvartalet C-blokk,FRANO gjenvinningsanlegg for forurensede masser (Bondkall),soil and clay,19776,pfm3,2025,2029,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",15.9 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0160,SRC_OS_011,AK_NA_001,Regjeringskvartalet C-blokk,Herstua Grus AS - avfallshåndtering,soil and clay,1608,pfm3,2025,2029,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",54.0 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0161,SRC_OS_011,BU_DR_002,Regjeringskvartalet C-blokk,Lindum AS avd. Drammen - avfallsdeponi,soil and clay,3689,pfm3,2025,2029,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",47.6 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0162,SRC_OS_011,BU_DR_005,Regjeringskvartalet C-blokk,Mile avfallsdeponi,soil and clay,1237,pfm3,2025,2029,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",57.4 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0163,SRC_OS_011,BU_LI_001,Regjeringskvartalet C-blokk,Egge I - inert deponi,soil and clay,2873,pfm3,2025,2029,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",40.6 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
FLW_0164,SRC_OS_011,BU_LI_002,Regjeringskvartalet C-blokk,Egge II - inert deponi,soil and clay,2848,pfm3,2025,2029,modelled,low,"(model output, not a source)",E5,modelled,"distance-decay allocation, capacity-capped, straight line x1.3",40.8 km. HYPOTHESIS ONLY - do not present as a flow.,FALSE
